Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1959,53,Makin' Love,Floyd Robinson,Pop,20,0.641,0.455,0.683,117.8,4.01,-13,0.083
1959,54,The All American Boy,Bill Parsons,Pop,2,0.488,0.778,0.938,150,3.04,-8.3,0.721
1959,56,In The Mood,Ernie Fields & Orch.,Pop,4,0.427,0.481,0.763,169.8,2.66,-10.5,0.771
1959,57,I've Had It,The Bell Notes,Pop,6,0.818,0.776,0.889,137.6,3.09,-10.6,0.012
1959,58,Since I Don't Have You,The Skyliners,R&B/Soul,12,0.48,0.349,0.489,65.6,3.65,-10.3,0.748
1959,60,Frankie,Connie Francis,Rock,9,0.572,0.483,0.609,99.6,2.52,-8.1,0.796
1959,61,So Fine,The Fiestas,R&B/Soul,11,0.875,0.843,0.586,137,3.52,-3.3,0.03
1959,62,Just Ask Your Heart,Frankie Avalon,Rock,7,0.451,0.486,0.953,176,2.52,-11.1,0.644
1959,64,Only You,Franck Pourcel's French Fiddles,Hip-Hop/Rap,9,0.764,0.525,0.787,95.8,4.82,-6,0.03
1959,66,May You Always,The McGuire Sisters,Pop,11,0.201,0.268,0.202,164.9,2.97,-11,0.942
1959,67,Heartaches By The Number,Guy Mitchell,Rock,1,0.584,0.589,0.842,172.5,2.57,-11.2,0.463
1959,69,My Happiness,Connie Francis,Rock,2,0.468,0.346,0.298,108.9,2.47,-7.4,0.843
1959,70,Smoke Gets In Your Eyes,The Platters,Rock,1,0.563,0.656,0.545,118.4,3.27,-7.2,0.021
1959,71,Gotta Travel On,Billy Grammer,Pop,4,0.568,0.512,0.892,177.1,2.51,-12.2,0.822
1959,73,Tallahassee Lassie,Freddy Cannon,R&B/Soul,6,0.324,0.885,0.242,142.4,2.21,-4.8,0.143
1959,74,Sea Cruise,Frankie Ford,R&B/Soul,14,0.545,0.662,0.676,167,2.64,-10.3,0.181
1959,75,Tiger,Fabian,Hip-Hop/Rap,3,0.561,0.573,0.962,167.6,2.49,-16.2,0.78
1959,76,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,Pop,13,0.353,0.214,0.28,80.6,3.47,-12.1,0.946
1959,79,(All of a Sudden) My Heart Sings,Paul Anka,Rock,15,0.418,0.532,0.504,117.3,2.73,-7.9,0.461
1959,80,Goodbye Baby,Jack Scott,Rock,8,0.694,0.547,0.764,130.2,2.16,-12.6,0.91
1959,82,Turn Me Loose,Fabian,Hip-Hop/Rap,9,0.449,0.098,0.538,95,2.61,-20.7,0.911
1959,83,Enchanted,The Platters,Rock,12,0.455,0.623,0.208,163.9,5.87,-3.9,0.074
1959,85,I Want To Walk You Home,Fats Domino,R&B/Soul,8,0.752,0.382,0.825,89.9,2.35,-12.8,0.474
1959,86,It Was I,Skip And Flip,Pop,11,0.683,0.939,0.956,112.9,2.37,-9.5,0.757
1959,87,Bobby Sox To Stockings,Frankie Avalon,Rock,8,0.589,0.47,0.614,117.9,2.69,-9.7,0.829
1959,88,You Were Mine,Fireflies,Country,21,0.542,0.346,0.173,139.9,3.63,-6.6,0.342
1959,89,Misty,Johnny Mathis,Pop,12,0.553,0.487,0.524,93.7,6.02,-9.9,0.783
1959,90,I Only Have Eyes For You,The Flamingos,Rock,11,0.158,0.174,0.077,179.3,3.65,-16.3,0.732
1959,91,We Got Love,Bobby Rydell,Rock,6,0.454,0.678,0.606,129.4,2.36,-6.9,0.703
1959,92,Just Keep It Up,Dee Clark,R&B/Soul,18,0.664,0.315,0.91,96.1,2.2,-16,0.624
1959,93,Manhattan Spiritual,Reg Owen & His Orchestra,Pop,10,0.759,0.51,0.657,97.4,2.76,-11.1,0.43
1959,94,"I Loves You, Porgy",Nina Simone,R&B/Soul,18,0.477,0.049,0.195,62.4,4.16,-21.2,0.956
1959,95,Kissin' Time,Bobby Rydell,Rock,11,0.643,0.906,0.938,94.9,2.21,-5.4,0.195
1959,96,So Many Ways,Brook Benton,R&B/Soul,6,0.503,0.42,0.571,116.7,2.46,-13.8,0.62
1959,97,Oh! Carol,Neil Sedaka,Rock,9,0.728,0.734,0.965,135.1,2.26,-3.2,0.63
1959,98,Just As Much As Ever,Bob Beckham,Rock,32,0.442,0.112,0.333,85,2.34,-15.9,0.883
1959,99,A Lover's Question,Clyde McPhatter,R&B/Soul,6,0.67,0.436,0.951,83,2.5,-11.7,0.887
1959,100,Thank You Pretty Baby,Brook Benton,R&B/Soul,16,0.686,0.264,0.477,97.6,2.33,-14.5,0.876
1960,1,The Twist,Chubby Checker,Rock,1,0.533,0.638,0.937,156.7,2.56,-7.1,0.202
1960,2,Look For A Star,Garry Miles,Pop,16,0.653,0.222,0.689,105.3,2.15,-14.6,0.885
1960,4,He'll Have To Go,Jim Reeves,Rock,2,0.554,0.186,0.2,81.2,2.31,-15.8,0.909
1960,5,I'm Sorry,Brenda Lee,Country,1,0.374,0.449,0.706,182.3,2.99,-10.7,0.702
1960,6,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,Pop,1,0.466,0.389,0.749,92.6,2.41,-12.8,0.631
1960,7,"Please Help Me, I'm Falling",Hank Locklin,Pop,8,0.552,0.336,0.553,105.5,2.36,-10.7,0.828
